Date,Open,High,Low,Close,Volume,Adj Close
2015-02-06,120.02,120.25,118.45,118.93,43372000,118.93
2015-02-05,120.02,120.23,119.25,119.94,42246200,119.94
2015-02-04,118.50,120.51,118.31,119.56,70149700,119.09
2015-02-03,118.50,119.09,117.61,118.65,51915700,118.18
2015-02-02,118.05,119.17,116.08,118.63,62739100,118.16
