Date,Open,High,Low,Close,Volume,Adj Close
2015-02-06,70.00,70.25,67.79,68.58,2846100,68.58
2015-02-05,71.32,71.59,70.53,70.58,1235200,70.58
2015-02-04,70.62,71.76,70.42,71.18,1683300,71.18
2015-02-03,69.00,70.97,68.57,70.81,2040600,70.81
2015-02-02,67.27,67.83,66.18,67.70,1257700,67.70
