Date,Open,High,Low,Close,Volume,Adj Close
2015-02-06,24.54,24.75,24.47,24.52,27128300,24.52
2015-02-05,24.25,24.50,24.24,24.50,25647400,24.50
2015-02-04,24.41,24.43,24.08,24.16,33236000,24.16
2015-02-03,24.29,24.53,24.26,24.47,37723800,24.47
2015-02-02,24.00,24.22,23.90,24.21,39602500,24.21
