Date,Open,High,Low,Close,Volume,Adj Close
2015-02-06,76.54,76.99,76.34,76.57,306700,76.57
2015-02-05,77.12,77.34,76.64,77.24,267800,77.24
2015-02-04,77.54,77.69,76.94,77.17,620700,77.17
2015-02-03,76.74,77.30,76.45,77.14,836500,77.14
2015-02-02,76.27,77.15,76.07,76.98,438000,76.98
